Distance	All_PRDM9_Mean	All_PRDM9_Bootstrap_025	All_PRDM9_Boostrap_975	Promoters_Mean	Promoters_Bootstrap_025	Promoters_Boostrap_975
0	1.8929529961670961	1.913469602370337	1.952315614892072	3.060864209090449	2.57278940966343	4.098241551767515
100	1.8729090377574669	1.884943839712489	1.917968141182702	2.907011003675548	2.481461223230642	3.73464242511203
200	1.852332293963307	1.8568227309762366	1.8836419517356546	2.7531914928310877	2.439119945786243	3.3720954061013058
300	1.8310836271458937	1.8285784969707282	1.8501130525552558	2.5982014192313785	2.3529599794611467	3.0104161175536226
400	1.8093813610357274	1.800319040594773	1.8191802488804278	2.4409569269177944	2.234892079873619	2.7692221079568022
500	1.785218768670047	1.7747340279287254	1.7932463355205235	2.277152206627895	2.067880085678628	2.536284025830655
600	1.7603972168569497	1.7517194519683532	1.767377568692624	2.112680179507107	1.916395936092512	2.3526190045152275
700	1.7351637021287858	1.726846091817876	1.741889051264282	1.9629506547118942	1.7901316375582519	2.1970315552305544
800	1.7101979895638246	1.7019890226052978	1.7191377908491752	1.8336016797659915	1.67014675301023	2.064711314134915
900	1.6866402282745738	1.6770949918391989	1.6973319340681028	1.7243187654602674	1.529452597003118	1.968835225625473
1000	1.665219878341166	1.654626477612925	1.676473193821655	1.6368887403433938	1.443235506700055	1.865813058188071
1100	1.645932210483565	1.6376183416825743	1.6551188103972447	1.566618846639472	1.3741054590553352	1.8134948868042615
1200	1.628080711266675	1.6193258542716424	1.6397339441801337	1.5174289008193222	1.3088788058686596	1.7720141089174268
1300	1.6112084611687565	1.6030401564070293	1.6239094847356055	1.4731450668175092	1.2559466612777366	1.7268917943545712
1400	1.5951924478925177	1.5862329442816927	1.6088681848728439	1.4229286464756394	1.1999057118220737	1.6527430940460606
1500	1.579639963995101	1.5691937619287646	1.592173320366652	1.3711449289616529	1.1513008934687943	1.6020981424744873
1600	1.5638337517155443	1.5507023252755372	1.5744293454522311	1.3335650938438042	1.1225320867564001	1.5370600834947723
1700	1.5478396437074806	1.5356494207740956	1.5586547348250817	1.3118276531068462	1.1210871015930282	1.487901899798322
1800	1.5318103492064048	1.5200686337132003	1.5427352991514391	1.2978532429329637	1.0796945159821623	1.4707639136922144
1900	1.5162706755110935	1.5045935368956307	1.5287555257946313	1.295032109378787	1.076266878691185	1.4290303792613388
2000	1.502373469078545	1.4924593463704636	1.5153594557990746	1.3079701384461528	1.0868079890043532	1.4334375630015674
2100	1.4917794556412158	1.4812131055230557	1.5070232236596335	1.3262843613512096	1.0971876487270094	1.489850931393467
2200	1.4845411361813068	1.4732100250685272	1.4998279905161211	1.3337670058345608	1.0633956290448365	1.527602314700613
2300	1.4793884274622398	1.4655418503271957	1.4959946058166864	1.3255886769670948	1.033691712541379	1.5271806327174073
2400	1.4739239402177005	1.4582725988263492	1.492884610487719	1.2950911442297175	0.999745665066648	1.5054890089589852
2500	1.4671149240202588	1.4483222281640256	1.4854763150708323	1.2593409105442372	0.9844719799263814	1.4659343611774822
2600	1.458977866113873	1.4381114197381613	1.476743541936072	1.2215114124145745	0.9298033952897564	1.4093309490494692
2700	1.4487529636837213	1.428176870998557	1.4662270684220216	1.1732774786606726	0.8867173642194227	1.3314097445149276
2800	1.435174394101324	1.4141057961154908	1.453943630430302	1.1243631386572055	0.8909018356076627	1.2572192739549444
2900	1.4203582910092762	1.3996447786181654	1.438519186621153	1.0882885086088334	0.8823115625782032	1.2042281302540097
3000	1.4078940511692184	1.3884793003330076	1.4299203434093137	1.067592494956258	0.8541131414970723	1.171618297151977
3100	1.398715711520127	1.3805331737625448	1.4175902643150744	1.046043294673786	0.8549859632744302	1.1646622210312418
3200	1.3919640011236727	1.3724997980795288	1.4129764542157774	1.0231021985015845	0.8382172440270886	1.1338847287816674
3300	1.3872842119074706	1.369056088051977	1.4123498546121862	1.0024265871438358	0.8278554644640759	1.1326295505734394
3400	1.3862831722339337	1.365754905137472	1.4148944665269239	0.9871102750018386	0.8042800073460593	1.09447169937204
3500	1.3893481716714164	1.3659254148033206	1.4189106329821575	0.9763130513032396	0.7758767435606034	1.1227502711926654
3600	1.3939408040364087	1.3664123591066946	1.4222779015108975	0.967019204399566	0.7683929159552252	1.1119427928584655
3700	1.3987108868731841	1.3643005206836267	1.426643322128897	0.9613033494860661	0.7696786798529122	1.0997076756553643
3800	1.402679792659795	1.3630501858181254	1.4343529991568027	0.9571275979996625	0.7906278747622256	1.111708256164188
3900	1.4058605890690106	1.3616147187556453	1.443243235274461	0.947532394907835	0.813994109719025	1.1085867105781104
4000	1.4060874903022464	1.35107817563168	1.4496809339306636	0.9358183314033318	0.7957415209962422	1.0811045474136658
4100	1.398753915129489	1.3418240124567065	1.4435967016833462	0.9251572139348815	0.789865005340091	1.0672886354102302
4200	1.384728010543181	1.3298501990380067	1.4265975434742686	0.919291781221009	0.7956414628827619	1.0368482632402598
4300	1.3660220551816922	1.3155076562624748	1.408151004002467	0.920073836831263	0.8130808393576919	1.017480047912008
4400	1.3457960720715318	1.2974618476826547	1.384931802848947	0.926228882728812	0.8101831321887202	1.0414704995902653
4500	1.3255817923799562	1.2797002754230136	1.3698923192020793	0.9368533917609237	0.8163304901572729	1.0551671349915743
4600	1.3057036555468633	1.2636533372699292	1.3434713408383387	0.9487530731843581	0.8197630682889588	1.035283900773553
4700	1.2904467186106932	1.2516580986053898	1.3205997483916743	0.949666447665767	0.8208861193923268	1.046608774940016
4800	1.2814601554997471	1.2418271900258577	1.3062840330236634	0.9336906761881902	0.8172739310519666	1.0304107406602243
4900	1.278450121140176	1.2388784276512912	1.3048208916960784	0.9040290371082574	0.7823190191936772	1.0056755508219801
5000	1.2797083729371135	1.2380317580621296	1.3092645451702107	0.8683147491220554	0.7423366424610497	0.9724831021105212
5100	1.2806715937335502	1.2252324080216377	1.3128360201155624	0.8296638890207174	0.720422393428605	0.9335738642382319
5200	1.278724226391414	1.2227376987783862	1.3168290750289766	0.7930221027979385	0.7088424760758368	0.8863723408658257
5300	1.2737734431934136	1.2175083237817934	1.3249099069981398	0.7659030967853017	0.6940177146207009	0.8568499316822172
5400	1.2668304903295735	1.1990210669479633	1.3244642807441076	0.7555720401002749	0.6764408139840963	0.865470128627127
5500	1.2589612862177957	1.1862351942639826	1.3195155632788043	0.7682806009407074	0.6723031032173268	0.9101107725762054
5600	1.251364615690979	1.1858322051606478	1.308071182179766	0.8283729558946618	0.6935242722088659	0.9677597479727763
5700	1.2475762502980101	1.1802682223081604	1.3067337428337518	0.9414905375251695	0.7232341569491236	1.0595113898101205
5800	1.249293501043351	1.1731835147341354	1.3105023401310496	1.0564149837346164	0.7774025011133731	1.1583656605612163
5900	1.2543208477995085	1.1672083103698645	1.3128647483749787	1.160823017866567	0.835262457705136	1.283883695429834
6000	1.2616093647030915	1.1692447045358536	1.317538106043557	1.2775694208400936	0.8943501954282433	1.4246454855440969
6100	1.2653268145703043	1.1745389809719153	1.323821488981153	1.3909104778347727	0.9871196481207162	1.5464828176742775
6200	1.2588991168279033	1.1679149169164496	1.322475010426605	1.4489896745463051	1.0721190969981762	1.6078665168950825
6300	1.248019196540029	1.1577006355990134	1.3228365485204	1.4562261799835217	1.0691227917745845	1.6854133885809124
6400	1.2339957794035576	1.1448122216853918	1.317932072575091	1.4336883364066288	1.0644633533176893	1.6981471785079245
6500	1.2175673887546887	1.139062215183798	1.2954704289199759	1.3919781318145172	1.0652590813117688	1.629114332232443
6600	1.2003255119599379	1.131107797959204	1.2702265964228832	1.3354009519530006	1.063848355698954	1.5603491274390662
6700	1.1825679134374345	1.1166247324189897	1.2479725341543857	1.2573307310820794	1.031103388281202	1.4791198235619938
6800	1.1658196741201183	1.0998628069780823	1.2235337348224211	1.1639821071439138	0.9303550474195638	1.3865761612308143
6900	1.1499867827321213	1.0893862109273642	1.205724770247729	1.0700765734425186	0.8713893250416164	1.2642293055305163
7000	1.1350574873207264	1.0751369346326192	1.18544961902654	0.9790936890523751	0.7946112215766966	1.1417304566268234
7100	1.1210646539900828	1.0680207722885102	1.163841031831275	0.8917733882024724	0.7242966157395337	1.040324483713953
7200	1.1090349298525053	1.0516185918230605	1.1552058232892257	0.8136375500979187	0.6720941725110978	0.933714790309167
7300	1.0978027718607481	1.0326579371907145	1.1598119062832364	0.7562154550285152	0.6355465735168752	0.8790305318709803
7400	1.0850597215856503	1.022289193987516	1.148837190827008	0.7260580996373786	0.6140519688642335	0.8258616257070341
7500	1.074032346279079	1.0116202135927628	1.1409876901787963	0.7144701974148805	0.5828452521713023	0.8092594815491965
7600	1.0623680582973862	1.000964536911559	1.1216244879532262	0.7205080974463289	0.5839092343389062	0.8415028793819157
7700	1.048333554687774	0.9906460080803042	1.0943676827895092	0.7477882139698309	0.6023944370949829	0.894818441179168
7800	1.033741229492177	0.9871421371028958	1.0755787433072996	0.7917469249277042	0.6464213102953057	0.9517562555864002
7900	1.024061370922595	0.9805396724278785	1.0582440933857469	0.8401685789547667	0.7009885992026664	0.9860560130446906
8000	1.0184004921391268	0.9720550323693622	1.0666161894336859	0.8857122045755312	0.7398574590948086	1.0383520867401335
8100	1.0166549365843964	0.972237418302709	1.0690479467785652	0.9248772219252159	0.7516278918792737	1.0807796783775434
8200	1.018720640624329	0.9616787423758975	1.0714134920193508	0.9590945147243164	0.7672082108231306	1.0998326815751818
8300	1.0152599600526793	0.9629282640473216	1.0647381104788054	0.9878788833204786	0.7757716480216015	1.1316801873563322
8400	1.0085297960050172	0.952909448881683	1.0741158505442483	1.0107947881446813	0.7884241762710671	1.166316239444732
8500	0.9994527081322446	0.93988043507506	1.0783298820155887	1.028084696265111	0.8437178572858973	1.1809388827415266
8600	0.9888318116544665	0.9354175306167294	1.06805953268403	1.0446718075997572	0.8573536838490182	1.196503980605585
8700	0.97458588645919	0.927699785750278	1.06932359527442	1.064219187684219	0.8621019144206891	1.1964292003417574
8800	0.961003033322165	0.9145325514847044	1.0762212081412048	1.0834793304116916	0.8656512271605715	1.2121069994485896
8900	0.9507777274805326	0.9036500037572766	1.0696250812220331	1.0983511751605466	0.8437667147811417	1.2354487441586903
9000	0.9433511099630247	0.8998166791837824	1.0629619302015405	1.1052711685762984	0.8273776330761469	1.2209535489428482
9100	0.9399224699587175	0.9019092561017216	1.0603019308834134	1.0937887196580836	0.8288442604124214	1.2429631401804984
9200	0.9406969016892454	0.8980298706562116	1.0405679188783692	1.0615318528141753	0.7362225377637389	1.2038224527748935
9300	0.9434348658158105	0.8910359811820523	1.0345219844113136	1.0163075056493447	0.6948240380665593	1.1601561145548527
9400	0.9450089767685574	0.8876852901276183	1.0355918688668864	0.9669327877050433	0.6903173216254764	1.1139586790937392
9500	0.9424131472692276	0.8794577362440894	1.0459998752186053	0.9287564028432584	0.7097770782668985	1.086378497152746
9600	0.9360050581851498	0.8741127938203883	1.040124600662704	0.9058132218900301	0.7035045017174024	1.0644217824658804
9700	0.9281214365457368	0.8545477746375201	1.0172558439855865	0.9104996695091204	0.623994888470259	1.1206215991139152
9800	0.9204931983813198	0.8323387952070286	0.9976174326004357	0.9166206025866896	0.6359614387771918	1.2007967070359657
9900	0.9122566420705029	0.8140933909795525	0.9863820627187317	0.9270285127869854	0.6041800724424993	1.280356439247372
10000	0.9035830591062354	0.7830652934641099	0.9902440826963209	0.9407040957702124	0.5731384762930052	1.3603875676575456
